Food class level 1,Metrics,Concentration levels,Concentration levels
,Tea leaves and stalks with fruit and flavours,0,1079.192
,"Tea leaves and stalks, fermented",267.4,2350.582
,Tea powder ingredients and extracts,0,7492.045
,"Tea, decaffeinated, infusion",0,29.431
Composite dishes,Beans and meat meal,7.6,410.52
,Beans and vegetables meal,5,517.443
,Beef loaf,28.7,642.18
,Bouillabaisse,12.9,385.152
,Ceasar salad,4.2,450.7493
,Cereal products and grains based soup,9.59,212.875
,Cheese omelette,20.3,705.28
,Cheese savoury pie,6.6,443.93
,Creamed vegetable mix,18.3,570.81
,Dairy/egg soup,6.6,192.89
,Dolma,1.02,264.768
,"Dolma, PROCESS Baking",26.2,264.768
,"Dolma, PROCESS Cooking in water",24,399.139
,"Dolma, PROCESS Steaming",24,399.139
,Doner kebab,7,458.1
,Finger food,5.94,512.372
,Fish and potatoes meal,10.7,461.072
,Fish and rice meal,25.7,534.264
,Fish and vegetables meal,36.7,428.349
,Fish balls,15.1,466.913
,"Fish balls, PROCESS Baking",4.4,492.631
,"Fish balls, PROCESS Cooking in water",26.3,255.561
,"Fish balls, PROCESS Frying",17.4,492.631
,"Fish balls, PROCESS Steaming",26.3,255.561
,"Fish fingers, breaded",24,629.99
,Fish gratin,17.9,572.602
,Fish p�t�,20,350.81
,Fish soup,19.1,330.759
,"Fish soup, INGRED Tap water",16.3,306.989
,Fishcakes,11.3,432.347
,Fried eggs,23.6,470.31
,Fruit soup,1.2,132.923
,Goulash,3.57,383.579
,Greek salad,17.2,284.124
,Hamburger with bread,22,458.23
,Hot dog with bread,31.9,330.409
,Hummus,4,460.31
,Lasagna,6.2,456.169
,Legume (beans) soup,11,162.43
,Legumes based dishes,23,662.72
,Meat and vegetable soup,9.24,290.742
,Meat balls,19.6,477.973
,Meat burger (no sandwich),26,640.74
,Meat in aspic,0.6,511.75
,Meat loaf,33,552.5
,"Meat loaf with cheese, vegetables or other",27.8,356.062
,Meat soup,8,181.254
,Meat stew,26.8,375.6
,Meat terrine,50,348.997
,Mixed green salad,107,227.658
,Mixed vegetable salad,31.2,318.92
,Mixed vegetables soup,19,162.56
,"Mixed vegetables, boiled",26,241.354
,"Mixed vegetables, braised",25.7,398.225
,"Mixed vegetables, fried",26.6,325.765
,"Mixed vegetables, grilled",26.4,418.513
,Moussaka,8.8,476.78
,Mushroom based dishes,19.1,464.956
,Mushroom salad,10.8,445.097
,Mushroom soup,2,121.765
,Omelette with bacon,20.6,437.617
,Omelette with mushrooms,23.7,494.462
,Omelette with vegetables,15.9,359.96
,"Omelette, plain",22.2,362.73
,Onion soup,0,145.19
,Paella,13.5,227.653
,Pasta based dishes (cooked),15.3,424.697
,"Pasta based dishes (cooked), PROCESS Baking",5.28,461.59
,"Pasta based dishes (cooked), PROCESS Cooking in water",,354.5
,"Pasta based dishes (cooked), PROCESS Steaming",,354.5
,"Pasta-based dishes, uncooked",0,565.63
,"Pasta-based dishes, uncooked, PROCESS Baking",1.6,130.065
,"Pasta-based dishes, uncooked, PROCESS Cooking in water",3.21,354.08
,"Pasta-based dishes, uncooked, PROCESS Steaming",3.21,354.5
,"Pasta, cooked, with cheese/cream",3.8,654.631
,"Pasta, cooked, with vegetables",8.2,175.345
,"Pasta, cooked, with vegetables and cheese/cream",1,166.982
,"Pasta, filled with meat mix, cooked",0,565.63
,"Pasta, filled with meat mix, cooked, PROCESS Baking",1.6,130.065
,"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",3.21,325.044
,"Pasta, filled with meat mix, cooked, PROCESS Steaming",3.21,325.044
,"Pasta, filled with vegetable mix, cooked",0,481.045
,"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",2.21,354.5
,"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",2.21,354.5
,Pastas and rice (or other cereal) �based dishes,1.3,172.859
,"Pastas and rice (or other cereal) �based dishes, PROCESS Baking",,436.39
,"Pastas and rice (or other cereal) �based dishes, PROCESS Cooking in water",,156.38
,"Pastas and rice (or other cereal) �based dishes, PROCESS Steaming",,342.27
,Pizza and similar with cheese topping,7.2,644.2
,"Pizza and similar with cheese, and mushrooms",6.08,449.365
,"Pizza and similar with cheese, and vegetables",6.08,577.99
,"Pizza and similar with cheese, meat, and mushrooms",5.13,378.377
,"Pizza and similar with cheese, meat, and vegetables",6.5,688.59
,"Pizza and similar with meat, and vegetables",5.13,378.377
,Poached eggs,21,407.74
,Pork meat loaf,22.4,696.027
,Potato casserole,4,411.884
,Potato croquettes,4,476.326
,Potato soup,2.2,241.7
,Potatoes and cheese meal,5.6,443.93
,Potatoes and meat meal,4.4,324.699
,Potatoes and vegetables meal,11.4,453.656
,"Potatoes, meat, and vegetables meal",5.6,388.089
,Prepared fish salad,41.78,462.306
,Prepared legume (beans) salad,22,327.86
,Prepared meat salad,9.37,373.534
,Prepared mixed egg/meat/fish/vegetable salad,32.2,294.502
,Prepared nut salad,14,416.35
,Prepared pasta salad,11.4,207.663
,Prepared potato salad,7.3,262.144
,Prepared rice salad,10,215.986
,Quiche,24.5,697.98
,Ratatouille,10,348.299
,Rice and meat meal,10.3,341.89
,Rice and vegetables meal,16,407.76
,"Rice based dishes cooked, PROCESS Baking",,337.75
,"Rice based dishes cooked, PROCESS Cooking in water",4,330.66
,"Rice based dishes cooked, PROCESS Steaming",3.54,163.538
,Rice pudding,2.2,317.94
,"Rice, meat, and vegetables meal",6.16,160.251
,Risotto,3.7,377.678
,Roesti,2.27,349.212
,Sandwich and sandwich-like dishes,9.5,304.42
,Sandwich with cheese and vegetable topping/filling,12.4,1126.927
,Sandwich with cheese topping/filling,10.7,662.99
,Sandwich with fish and vegetable topping/filling,30.6,592.415
,Sandwich with fish topping/filling,38.4,395.86
,Sandwich with meat and vegetable topping/filling,12.2,388.18
,Sandwich with processed meat topping/filling,11.2,444.35
,Sausage roll,7.8,319.945
,Seafood salad,58,427.23
,Seafood-based meals,25.7,537.848
,Spring rolls,17.17,231.59
,Tomato soup,3,237.77
,Vegetable casserole,21,411.71
,Vegetable souffl�,83.7,455.468
,"Vegetables, gratinated",85.4,453.712
Eggs and egg products,Boiled eggs,21.1,407.73
,Duck eggs,5.4,479.14
,"Duck eggs, PROCESS Cooking in water",4.3,396.489
,Eggs from other eggs producer birds,89.6,433.56
,"Eggs from other eggs producer birds, PROCESS Cooking in water",4.1,481.179
,Geese eggs,5.1,507.185
,"Geese eggs, PROCESS Cooking in water",4.1,481.179
,Hen egg mixed whole,18.77,455.489
,"Hen egg mixed whole, dried",53.2,1803.18
,Hen egg white,6.1,203.103
,"Hen egg white, dried",50,1658.9
,Hen egg yolk,27.77,784.298
,"Hen egg yolk, dried",6.2,1731.833
,Hen eggs,13.78,407.87
,"Hen eggs, PROCESS Cooking in water",21,407.74
,"Hen eggs, PROCESS Frying",13.6,470.31
,Quail eggs,35.8,464.285
,"Quail eggs, PROCESS Cooking in water",10.5,406.744
"Fish, seafood, amphibians, reptiles and invertebrates",Amphibians and Reptiles,14.1,505.09
,Anchovies,20.6,664.547
,"Anchovies, PROCESS Baking",0.6,708.376
,"Anchovies, PROCESS Cooking in water",20.6,688.331
,"Anchovies, PROCESS Frying",0.6,709.979
,"Anchovies, PROCESS Steaming",0.6,688.331
,Anglerfish and monkfish,39,665.55
,"Anglerfish and monkfish, PROCESS Baking",2.1,960.565
,"Anglerfish and monkfish, PROCESS Cooking in water",2.1,532.863
,"Anglerfish and monkfish, PROCESS Frying",2.1,532.863
,"Anglerfish and monkfish, PROCESS Steaming",2.1,532.863
,Atlantic salmon,30,673.05
,"Atlantic salmon, PROCESS Baking",36,803.93
,"Atlantic salmon, PROCESS Cooking in water",32,727.678
,"Atlantic salmon, PROCESS Curing",,
,"Atlantic salmon, PROCESS Frying",32.5,689.555
,"Atlantic salmon, PROCESS Preserving with salt",29.6,657.019
,"Atlantic salmon, PROCESS Steaming",32,727.678
,"Atlantic salmon, PROD Farmed / cultivated / aquaculture",,
,"Atlantic salmon, STATE Primal cuts / fillets / halves or quarters",,
,Barracudas,2,508.383
,"Barracudas, PROCESS Baking",11.6,706.798
,"Barracudas, PROCESS Cooking in water",11.5,701.712
,"Barracudas, PROCESS Frying",11.6,706.798
,"Barracudas, PROCESS Steaming",11.5,701.712
,Bogue,,442
,"Bream, silver",2,573.19
,Canned/jarred fish in brine-deprecated,83,456.7
,"Canned/jarred fish in brine-deprecated, RACSOURCE Atlantic salmon",,
,Canned/jarred fish in oil-deprecated,96,531.69
,"Canned/jarred fish in vinegar, pickles or sauces-deprecated",39,618.73
,Canned/jarred smoked fish in oil-deprecated,42.9,612.089
,Carps,4.5,783.695
,"Carps, PROCESS Baking",24.8,828.883
,"Carps, PROCESS Cooking in water",4.5,799.08
,"Carps, PROCESS Frying",4.7,847.196
,"Carps, PROCESS Steaming",4.5,799.08
,Catfishes (freshwater),59.5,516.56
,"Catfishes (freshwater), PROCESS Baking",2.3,714.02
,"Catfishes (freshwater), PROCESS Cooking in water",3,625.85
,"Catfishes (freshwater), PROCESS Frying",2.3,714.02
,"Catfishes (freshwater), PROCESS Steaming",3,625.85
,Clams,2,595.468
,"Clams, cockles, arkshells",52.8,634.91
,"Clams, cockles, arkshells, PROCESS Baking",8.7,585.318
,"Clams, cockles, arkshells, PROCESS Cooking in water",65,435.72
,"Clams, cockles, arkshells, PROCESS Frying",8.7,585.318
,"Clams, cockles, arkshells, PROCESS Steaming",65,435.72
,"Clams, PROCESS Baking",8.7,585.318
,"Clams, PROCESS Cooking in water",59.8,549.383
,"Clams, PROCESS Frying",8.7,585.318
,"Clams, PROCESS Steaming",7.6,508.7
,Cockles,41,346.1
,"Cockles, PROCESS Cooking in water",90,421.48
,"Cockles, PROCESS Steaming",90,421.48
,Cod,29,558.53
,Cod liver,73.5,254.9
,Cod roe,11,513.367
,"Cod roe, PROCESS Smoking",,0.74
,"Cod, atlantic",,
,"Cod, murray",29.81,584.19
,"Cod, murray, PROCESS Cooking in water",0,3.67
,"Cod, murray, PROCESS Frying",,1.07
,"Cod, murray, PROCESS Steaming",0,3.67
,"Cod, PROCESS Boiling",53.2,329.048
,"Cod, PROCESS Drying (dehydration)",,100
,"Cod, PROCESS Preserving with salt",,
,"Cod, STATE Slices, steaks or other flat cuts",,
,"Cods, hakes, haddocks",,0.09
,"Cods, hakes, haddocks, PROCESS Baking",36,584.78
,"Cods, hakes, haddocks, PROCESS Cooking in water",32,638.18
,"Cods, hakes, haddocks, PROCESS Frying",39,533.693
,"Cods, hakes, haddocks, PROCESS Steaming",32,638.18
,Conger,1,674.382
,"Conger, european",3,619.48
,"Conger, european, PROCESS Baking",4,739.9
,"Conger, european, PROCESS Cooking in water",34,501.869
,"Conger, european, PROCESS Frying",1.1,707.494
,"Conger, european, PROCESS Steaming",34,501.869
,"Conger, PROCESS Baking",1.1,707.494
,"Conger, PROCESS Cooking in water",34,501.869
,"Conger, PROCESS Frying",1.1,707.494
,"Conger, PROCESS Steaming",34,501.869
,"Crabmeat, cooked-deprecated",84,535.46
,"Crabs, sea-spiders",82.8,664.925
,"Crabs, sea-spiders, PROCESS Baking",0.9,712.349
,"Crabs, sea-spiders, PROCESS Cooking in water",84.8,784.087
,"Crabs, sea-spiders, PROCESS Frying",0.8,694.741
,"Crabs, sea-spiders, PROCESS Steaming",84.8,784.087
,Cuttlefishes,67,681.4
,"Cuttlefishes, PROCESS Cooking in water",2,1
,"Cuttlefishes, PROCESS Frying",2,481.2
,"Cuttlefishes, PROCESS Steaming",2,1
,Diadromous fish,3.9,666.943
,"Diadromous fish, PROCESS Baking",4.2,688.953
,"Diadromous fish, PROCESS Cooking in water",3.9,659.121
,"Diadromous fish, PROCESS Frying",4.2,689.555
,"Diadromous fish, PROCESS Steaming",3.9,659.121
,Dories,72,574.12
,Dried fish,159,694.709
,"Dried fish, PROCESS Baking",1.3,730.467
,"Dried fish, PROCESS Cooking in water",1.3,730.467
,"Dried fish, PROCESS Steaming",1.3,730.467
,Drums,,679.3
,Fish paste or surimi,20.6,933.71
,"Flat-fishes, dried",3.6,1073.299
,"Flat-fishes, dried, PROCESS Baking",1.3,730.467
,"Flat-fishes, dried, PROCESS Cooking in water",1.3,730.467
,"Flat-fishes, dried, PROCESS Steaming",1.3,730.467
,Flounders,27,548.79
,"Flounders, PROCESS Baking",1.1,572.227
,"Flounders, PROCESS Cooking in water",33,628.515
,"Flounders, PROCESS Frying",31.1,572.227
,"Flounders, PROCESS Steaming",33,628.515
,Freshwater bream - Europe,25.6,564.947
,Freshwater crabs,,545.25
,Freshwater crayfishes,72,566.73
,"Freshwater crayfishes, cooked-deprecated",132,556.841
,"Freshwater crayfishes, PROCESS Baking",2.9,595.755
,"Freshwater crayfishes, PROCESS Cooking in water",132,556.45
,"Freshwater crayfishes, PROCESS Frying",52.9,595.755
,"Freshwater crayfishes, PROCESS Steaming",132,556.45
,Freshwater crustaceans,46.3,663.862
,"Freshwater crustaceans, PROCESS Baking",0.9,711.894
,"Freshwater crustaceans, PROCESS Cooking in water",0.8,693.911
,"Freshwater crustaceans, PROCESS Frying",0.9,711.894
,"Freshwater crustaceans, PROCESS Steaming",0.8,624.81
,Freshwater fish,33,668.014
,"Freshwater fish, PROCESS Baking",17.4,700.839
,"Freshwater fish, PROCESS Cooking in water",14,670.774
,"Freshwater fish, PROCESS Frying",14.5,714.315
,"Freshwater fish, PROCESS Steaming",17,670.774
,Freshwater shrimps or prawns,30,771.78
,"Freshwater shrimps or prawns, PROCESS Cooking in water",47.85,474.51
,Frogs (legs),14.1,507.79
,Garfish,33.6,615.597
,Hakes,26.02,502.693
,"Hakes, PROCESS Baking",,626.04
,"Hakes, PROCESS Cooking in water",26.5,448.978
,"Hakes, PROCESS Steaming",26.5,448.978
,Halibut,37.5,676.543
,"Halibut, PROCESS Baking",1,806.65
,"Halibut, PROCESS Cooking in water",1,841.33
,"Halibut, PROCESS Frying",1.1,733.562
,"Halibut, PROCESS Steaming",1,841.33
,Herring roe,6,1330.075
,"Herring, atlantic",48,653.11
,"Herring, atlantic, PROCESS Baking",61,873.088
,"Herring, atlantic, PROCESS Cooking in water",8.5,685.548
,"Herring, atlantic, PROCESS Frying",55,710.836
,"Herring, atlantic, PROCESS Pickling",28.1,90.383
,"Herring, atlantic, PROCESS Steaming",8.5,685.548
,Herrings,48,653.11
,"Herrings, PROCESS Baking",61,873.088
,"Herrings, PROCESS Cooking in water",8.5,685.548
,"Herrings, PROCESS Frying",9,710.836
,"Herrings, PROCESS Pickling",25.1,90.333
,"Herrings, PROCESS Steaming",8.5,685.548
,Largemouth black bass,,202.24
,"Lobster, european",39.1,550.658
,"Lobster, european, PROCESS Baking",1.1,589.921
,"Lobster, european, PROCESS Cooking in water",57,627.93
,"Lobster, european, PROCESS Frying",1.1,589.921
,"Lobster, european, PROCESS Steaming",57,627.93
,"Lobster, norway",55.9,487.32
,"Lobster, norway, PROCESS Cooking in water",132,552.67
,"Lobster, norway, PROCESS Steaming",132,552.67
,"Lobsters (including lobster meat), cooked-deprecated",57,627.93
,Mackerel,40,539.85
,Mackerel and mackerel-like fishes-deprecated,40,539.85
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Baking",39,646.67
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Cooking in water",44,695.74
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Frying",51,682.445
,"Mackerel and mackerel-like fishes-deprecated, PROCESS Steaming",44,695.74
,"Mackerel, PROCESS Baking",39,646.67
,"Mackerel, PROCESS Cooking in water",44,695.74
,"Mackerel, PROCESS Frying",51,682.445
,"Mackerel, PROCESS Steaming",44,695.74
,"Marine shrimps or prawns, cooked-deprecated",31,702.88
,Miscellaneous coastal marine fishes,50,669.73
,"Miscellaneous coastal marine fishes, PROCESS Baking",57,782.02
,"Miscellaneous coastal marine fishes, PROCESS Cooking in water",11.5,701.331
,"Miscellaneous coastal marine fishes, PROCESS Frying",11.6,706.413
,"Miscellaneous coastal marine fishes, PROCESS Steaming",38,701.431
,Miscellaneous demersal marine fishes,18,602.042
,"Miscellaneous demersal marine fishes, PROCESS Baking",19,642.257
,"Miscellaneous demersal marine fishes, PROCESS Cooking in water",23.6,616.172
,"Miscellaneous demersal marine fishes, PROCESS Frying",1.6,642.587
,"Miscellaneous demersal marine fishes, PROCESS Steaming",28,616.172
,Miscellaneous marine crustaceans,0.8,663.862
,"Miscellaneous marine crustaceans, PROCESS Baking",13.4,711.894
,"Miscellaneous marine crustaceans, PROCESS Cooking in water",13.3,693.911
,"Miscellaneous marine crustaceans, PROCESS Frying",13.4,711.894
,"Miscellaneous marine crustaceans, PROCESS Steaming",13.3,624.81
,Miscellaneous pelagic marine fishes,34.8,686.446
,"Miscellaneous pelagic marine fishes, PROCESS Baking",9,710.836
,"Miscellaneous pelagic marine fishes, PROCESS Cooking in water",8.5,685.548
,"Miscellaneous pelagic marine fishes, PROCESS Frying",9,710.836
,"Miscellaneous pelagic marine fishes, PROCESS Steaming",8.5,685.548
,Mullets,48,666.863
,"Mullets, PROCESS Baking",56,782.02
,"Mullets, PROCESS Cooking in water",1.5,611.574
,"Mullets, PROCESS Frying",1.5,611.574
,"Mullets, PROCESS Steaming",1.5,611.574
,Mussels,70,634.91
,"Mussels, PROCESS Baking",8.7,585.318
,"Mussels, PROCESS Cooking in water",65,435.72
,"Mussels, PROCESS Frying",22,489.881
,"Mussels, PROCESS Steaming",65,435.72
,Nile perch,1,699.345
,"Nile perch, PROCESS Baking",1.1,750.691
,"Nile perch, PROCESS Cooking in water",1,726.818
,"Nile perch, PROCESS Frying",1.1,765.986
,"Nile perch, PROCESS Steaming",1,726.818
,Ocean perch,56.3,545.326
,"Ocean perch, PROCESS Baking",14.6,613.621
,"Ocean perch, PROCESS Cooking in water",4.41,1.2
,"Ocean perch, PROCESS Steaming",4.41,1.2
,Octopuses,77,474.8
,"Octopuses, PROCESS Baking",5.7,516.849
,"Octopuses, PROCESS Cooking in water",2,492.361
,"Octopuses, PROCESS Frying",5.7,516.849
,"Octopuses, PROCESS Steaming",2,492.361
,Other fish offal,19,135.4066
,Oysters,40,729.85
,"Oysters, PROCESS Baking",15.9,529.834
,"Oysters, PROCESS Cooking in water",13.8,460.149
,"Oysters, PROCESS Frying",15.9,529.834
,"Oysters, PROCESS Steaming",13.8,460.149
,Pacific salmon (generic),30,694.65
,"Pacific salmon (generic), PROCESS Baking",25.99,862.402
,"Pacific salmon (generic), PROCESS Cooking in water",25.99,862.402
,"Pacific salmon (generic), PROCESS Frying",4.2,689.555
,"Pacific salmon (generic), PROCESS Steaming",25.99,862.402
,Perch,25,699.345
,"Perch, golden",62.9,465.91
,"Perch, golden, PROCESS Baking",4.41,1.2
,"Perch, golden, PROCESS Cooking in water",4.41,1.2
,"Perch, golden, PROCESS Steaming",4.41,1.2
,"Perch, PROCESS Baking",17.01,616.837
,"Perch, PROCESS Cooking in water",4.41,727.614
,"Perch, PROCESS Frying",1.1,765.986
,"Perch, PROCESS Steaming",4.41,727.614
,Pike,7.42,629.074
,Pike-perch,24.6,697.065
,"Pike-perch, PROCESS Baking",4.8,753.325
,"Pike-perch, PROCESS Cooking in water",4.6,708.966
,"Pike-perch, PROCESS Frying",4.8,753.325
,"Pike-perch, PROCESS Steaming",4.6,708.966
,"Pike, PROCESS Baking",2.2,677.221
,"Pike, PROCESS Cooking in water",2,637.333
,"Pike, PROCESS Frying",2.2,677.221
,"Pike, PROCESS Steaming",2.2,675.225
,Plaice,38,536.397
,"Plaice, PROCESS Baking",47,650.791
,"Plaice, PROCESS Cooking in water",41,507.032
,"Plaice, PROCESS Frying",50,640.236
,"Plaice, PROCESS Steaming",41,507.032
,"Pomfret, atlantic",,719.61
,Rays,0.47,546.16
,"Rays, PROCESS Baking",8,631.59
,"Rays, PROCESS Cooking in water",5,473.13
,"Rays, PROCESS Steaming",5,473.13
,River eels,32,632.31
,"River eels, PROCESS Baking",29.1,707.494
,"River eels, PROCESS Cooking in water",34,501.869
,"River eels, PROCESS Frying",1.1,707.677
,"River eels, PROCESS Steaming",34,501.869
,Roaches,24.4,712.414
,"Salmon roe, atlantic",18,810.217
,"Salmon, threadfin",30,691.15
,"Salmon, threadfin, PROCESS Baking",25.99,862.402
,"Salmon, threadfin, PROCESS Cooking in water",25.99,862.402
,"Salmon, threadfin, PROCESS Steaming",25.99,862.402
,Sardines and sardine-type fishes,45,762.14
,"Sardines and sardine-type fishes, PROCESS Baking",50,902.592
,"Sardines and sardine-type fishes, PROCESS Cooking in water",35.2,849.621
,"Sardines and sardine-type fishes, PROCESS Frying",0.2,853.684
,"Sardines and sardine-type fishes, PROCESS Steaming",35.2,849.621
,"Scallops, pectens",23.53,627.263
,"Scallops, pectens, PROCESS Baking",2.2,625.655
,"Scallops, pectens, PROCESS Cooking in water",60,557.549
,"Scallops, pectens, PROCESS Frying",24.4,625.559
,"Scallops, pectens, PROCESS Steaming",60,557.549
,Sea bass,4,742.359
,"Sea bass, PROCESS Cooking in water",1.1,722.45
,"Sea bass, PROCESS Steaming",1.1,722.45
